# f avgSuu avgSvv avgSww
6.055454452393338113e-03 3.544771871073692182e+00 8.559368732380695510e-02 1.712245775160886607e-01
7.629394531249999133e-03 2.490901360087562466e+01 1.252086483168227682e+00 2.615156656113801770e+00
9.612434767874702621e-03 4.240834203507530376e+00 2.774966107364598700e-01 5.899624102335817577e-01
1.211090890478667623e-02 5.230900875884778145e+00 6.519385078322388338e-01 8.070001845044627586e-01
1.525878906249999827e-02 7.102281338140659095e+00 7.306038789857148830e-01 5.623275636453105575e-01
1.922486953574940524e-02 2.820394238839701639e+00 4.734586505817317548e-01 2.800523674147379349e-01
2.422181780957335245e-02 1.456409502738391204e+00 1.955795599806707807e-01 2.703388671674247790e-01
3.051757812499999653e-02 1.559292392226345747e+00 4.482094990245267807e-01 3.060194678126573753e-01
3.844973907149881048e-02 1.130000611392454335e+00 3.372873532278130027e-01 2.807006634516416854e-01
4.844363561914670491e-02 5.253578270347833978e-01 2.527367511123005950e-01 1.867316094262777282e-01
6.103515624999999306e-02 3.587264022758466786e-01 1.970402713252552007e-01 1.644568959245747142e-01
7.689947814299762097e-02 2.440412288923481943e-01 1.505336002826389574e-01 1.032862303475953203e-01
9.688727123829340981e-02 1.165548803771945113e-01 1.258654026597508246e-01 7.662390039303136613e-02
1.220703124999999861e-01 5.816284726469388155e-02 6.818925133462561128e-02 4.066519131018010713e-02
1.537989562859952419e-01 2.470806447817599019e-02 2.869678834466438816e-02 2.102900020800499425e-02
1.937745424765868196e-01 1.292967332228407359e-02 1.653814632560219808e-02 8.592261278619379647e-03
2.441406249999999722e-01 4.848018557896456408e-03 5.255969076565825820e-03 3.881444947512422208e-03
3.075979125719904839e-01 2.110264648006164503e-03 1.739636261271503264e-03 1.288739160258682527e-03
3.875490849531736393e-01 6.167817202727019985e-04 4.207086339677179468e-04 3.447111415762042514e-04
4.882812499999999445e-01 2.009333737502636030e-04 1.117661536640635159e-04 7.970805196113831686e-05
6.151958251439809677e-01 4.039431576056653805e-05 2.183547027421660236e-05 1.801008743379101717e-05
7.750981699063472785e-01 3.730872785930744360e-06 1.729098458785453450e-06 2.131971777696674103e-06
9.765624999999998890e-01 8.351429604714064358e-08 4.069953280855682985e-08 5.818435216393519316e-08
1.230391650287961935e+00 9.130161203138659292e-10 4.429474550316955873e-10 4.428078611828386260e-10
1.550196339812694557e+00 9.961049821941576981e-12 8.501854994085803444e-12 6.990571151547768044e-12
1.953124999999999778e+00 7.908318066669051340e-12 6.217783388221720864e-12 4.147388739614447563e-12
2.460783300575923871e+00 1.388141248969095763e-12 1.003666796831988802e-12 6.357681060722927293e-13
3.100392679625389114e+00 7.370787776097188103e-13 2.801886940081125052e-13 2.165091413709285068e-13
3.906249999999999556e+00 1.615793674658419871e-12 9.199653044491143957e-13 6.189385392903526158e-13
