# f avgSuu avgSvv avgSww
6.055454452393338113e-03 3.562628798707474953e+00 7.425920776441327642e-02 1.874974918962459824e-01
7.629394531249999133e-03 2.512911941645467095e+01 1.188053823156848487e+00 2.779154987123689136e+00
9.612434767874702621e-03 4.138486396087714070e+00 2.974093140832771431e-01 6.697445926710382524e-01
1.211090890478667623e-02 5.046777825475604828e+00 6.937551929913465809e-01 8.443530534357132078e-01
1.525878906249999827e-02 6.789598052607093592e+00 7.565813581713770608e-01 5.931320867726903590e-01
1.922486953574940524e-02 2.831523706571164034e+00 4.848332889424341596e-01 2.915795539202228337e-01
2.422181780957335245e-02 1.329093661739874310e+00 2.282452766993198490e-01 2.701480939895999911e-01
3.051757812499999653e-02 1.392101341206412934e+00 4.297310612619354431e-01 3.003978795381817557e-01
3.844973907149881048e-02 1.175016692682236741e+00 3.368274524197384379e-01 3.073281289665411586e-01
4.844363561914670491e-02 5.275651551752845725e-01 2.635213197349767222e-01 2.035459163522511938e-01
6.103515624999999306e-02 3.703622427446797150e-01 1.979584754950768632e-01 1.753955669573454279e-01
7.689947814299762097e-02 2.529154124017908289e-01 1.646805442889638926e-01 1.255164843600196645e-01
9.688727123829340981e-02 1.304307409677694096e-01 1.246873922613573882e-01 8.276409934797682166e-02
1.220703124999999861e-01 6.876782850126536561e-02 7.074104159704557027e-02 4.895735874654714298e-02
1.537989562859952419e-01 2.846771710826002597e-02 2.898650012754669034e-02 2.331727654965839655e-02
1.937745424765868196e-01 1.714997278107319167e-02 1.621782830713579607e-02 1.124881000067074616e-02
2.441406249999999722e-01 7.587611401745114788e-03 6.097327849198131561e-03 5.449998293850559505e-03
3.075979125719904839e-01 3.293591060166562064e-03 2.226590960543818609e-03 2.273996615301609493e-03
3.875490849531736393e-01 1.264957489958777690e-03 7.306217291103246159e-04 7.344487051539615478e-04
4.882812499999999445e-01 4.702154952948386815e-04 2.482173604450301722e-04 2.165420042219399783e-04
6.151958251439809677e-01 1.112438037208746897e-04 5.431373113392000136e-05 6.213475272138435309e-05
7.750981699063472785e-01 1.079110582575246189e-05 5.957018989425562111e-06 7.678651847065807878e-06
9.765624999999998890e-01 2.985695849811454001e-07 1.923280600339072113e-07 2.566327038545093370e-07
1.230391650287961935e+00 2.781893189930061196e-09 2.357410689349284312e-09 3.690231461807939997e-09
1.550196339812694557e+00 2.465652184260328865e-11 1.957008502307996499e-11 3.513227432925173357e-11
1.953124999999999778e+00 3.098011152298695241e-12 2.703554991499603426e-12 4.377782529325963758e-12
2.460783300575923871e+00 1.246795211607785504e-12 9.182806895710142746e-13 1.109525688604669975e-12
3.100392679625389114e+00 1.252829720077695831e-12 4.414159063240590805e-13 6.529835833552711477e-13
3.906249999999999556e+00 1.196999674363125720e-12 5.301004255247411622e-13 6.448865015133047069e-13
