# f avgSuu avgSvv avgSww
6.055454452393338113e-03 2.263686054878284892e+00 1.806194525812384877e-01 1.807828478056441868e-01
7.629394531249999133e-03 1.527955999114161223e+01 2.688193000724194981e+00 2.690444349324820461e+00
9.612434767874702621e-03 2.892884778248019373e+00 5.083219835565905287e-01 6.490360631304001870e-01
1.211090890478667623e-02 4.392993499287252135e+00 7.347628409889922496e-01 7.557847168354728806e-01
1.525878906249999827e-02 6.037202415393982946e+00 7.704392090852968389e-01 5.126174604284601255e-01
1.922486953574940524e-02 2.505127809634694280e+00 4.874162478957771438e-01 2.721165858072216448e-01
2.422181780957335245e-02 1.321866573766521391e+00 1.976037919803947107e-01 2.466970988860564817e-01
3.051757812499999653e-02 1.520832303465662561e+00 4.587998014584832029e-01 2.954263944179548740e-01
3.844973907149881048e-02 8.726312091599701670e-01 3.102089047082695061e-01 2.366024094713142512e-01
4.844363561914670491e-02 4.798556812674456551e-01 2.476148330350375903e-01 1.578829913601330903e-01
6.103515624999999306e-02 3.348262705067692191e-01 1.951301054749920716e-01 1.503331723669331932e-01
7.689947814299762097e-02 1.812586102627958551e-01 1.332801383585663912e-01 9.349699216474910424e-02
9.688727123829340981e-02 7.612262590858059896e-02 1.208688796805326704e-01 6.063888549088259500e-02
1.220703124999999861e-01 4.200567522672182807e-02 6.634046288609964093e-02 3.294965014851723717e-02
1.537989562859952419e-01 1.578322329045718161e-02 2.959823169536337714e-02 1.479982490713380693e-02
1.937745424765868196e-01 5.712029666977155341e-03 1.484157772369392413e-02 5.650344045331255963e-03
2.441406249999999722e-01 1.219580623364871930e-03 4.489566059310896862e-03 1.874833649633602566e-03
3.075979125719904839e-01 3.263719673010858518e-04 9.493044487293258223e-04 4.248150973241107296e-04
3.875490849531736393e-01 5.122935845291849114e-05 1.447605112820698667e-04 5.556931818119114128e-05
4.882812499999999445e-01 5.989185424000519061e-06 1.150846219512962758e-05 4.639354988809098349e-06
6.151958251439809677e-01 3.891459494098512212e-07 4.135097427868291992e-07 1.816213721291546127e-07
7.750981699063472785e-01 1.037395171370581061e-08 9.672677639967671271e-09 4.214774702777608973e-09
9.765624999999998890e-01 8.685699319440947059e-10 5.370805546048650872e-10 3.971979203020189157e-10
1.230391650287961935e+00 1.403746501665750631e-09 8.407125934949074096e-10 5.826146486222313772e-10
1.550196339812694557e+00 1.528929454850762519e-09 9.376334808676446238e-10 6.010749433648522967e-10
1.953124999999999778e+00 3.513491284554463843e-09 2.483629354629016273e-09 1.344896589263922462e-09
2.460783300575923871e+00 2.545622056659771708e-10 1.582010272742897165e-10 9.483577240716270685e-11
3.100392679625389114e+00 3.496137401505021478e-11 2.148974548965274281e-11 1.401791085940501578e-11
3.906249999999999556e+00 4.674188833160051547e-10 3.230825685047344105e-10 1.799121374135947927e-10
