# f avgSuu avgSvv avgSww
6.055454452393338113e-03 2.672162082088281654e+00 1.329747468558845902e-01 1.662548434654512741e-01
7.629394531249999133e-03 1.836619520982267062e+01 2.092174246785983627e+00 2.472023566952320284e+00
9.612434767874702621e-03 3.355069890127805543e+00 4.111172993408283571e-01 5.816587117808653673e-01
1.211090890478667623e-02 4.845034441838668826e+00 6.412667738656383509e-01 7.498540806373227285e-01
1.525878906249999827e-02 6.784448419838765787e+00 7.031324056972282355e-01 5.098685497605823791e-01
1.922486953574940524e-02 2.738972908237097936e+00 4.811825336081894111e-01 2.731024819756120436e-01
2.422181780957335245e-02 1.412348329593110519e+00 1.862528682489560106e-01 2.574536653032896694e-01
3.051757812499999653e-02 1.628886290479695020e+00 4.611479761561361745e-01 3.038605090167134648e-01
3.844973907149881048e-02 9.370937150211290367e-01 3.173160756870310739e-01 2.477568371389278212e-01
4.844363561914670491e-02 4.947738325759672429e-01 2.483868439456725918e-01 1.650887522178561273e-01
6.103515624999999306e-02 3.408519129953451188e-01 1.960760768021498901e-01 1.549974193225501784e-01
7.689947814299762097e-02 1.938211077552566830e-01 1.371297671347288805e-01 9.555748326212340493e-02
9.688727123829340981e-02 8.128507272683201113e-02 1.227363324990091153e-01 6.343614120093826747e-02
1.220703124999999861e-01 4.455546541545325062e-02 6.723533952596257024e-02 3.334536793712856301e-02
1.537989562859952419e-01 1.755977349667807788e-02 2.930557107179665444e-02 1.559398729425416977e-02
1.937745424765868196e-01 6.807889604412703174e-03 1.525601815518532259e-02 5.803899442692260838e-03
2.441406249999999722e-01 1.580087383615448636e-03 4.626026336490543858e-03 2.060616358974350169e-03
3.075979125719904839e-01 4.952269373747335843e-04 1.014549929775231422e-03 4.737204369855502412e-04
3.875490849531736393e-01 9.036617440928110690e-05 1.605252766883370763e-04 6.732175305965730418e-05
4.882812499999999445e-01 1.449519574316973953e-05 1.596531497054785005e-05 7.007031018335296793e-06
6.151958251439809677e-01 1.168771993843043296e-06 9.415563317362321442e-07 3.973190858006244122e-07
7.750981699063472785e-01 3.926229941428314330e-08 3.120833134530599107e-08 1.357364737537125950e-08
9.765624999999998890e-01 5.847657096984784552e-10 4.181662496000418973e-10 2.402551801685927364e-10
1.230391650287961935e+00 2.705899204997502129e-10 1.718794463412076167e-10 1.150614050664077831e-10
1.550196339812694557e+00 3.174396031797093323e-10 1.950930810341634220e-10 1.293963077562223530e-10
1.953124999999999778e+00 6.893606659763332202e-10 5.090806852129005887e-10 2.446318104915683745e-10
2.460783300575923871e+00 5.592405589249984793e-11 3.470156229406895419e-11 2.154742225127821293e-11
3.100392679625389114e+00 6.915867419837953763e-12 4.284845615598951138e-12 2.775833940971230067e-12
3.906249999999999556e+00 9.347111204281220308e-11 6.632718162051691639e-11 3.400789692085627180e-11
