# f avgSuu avgSvv avgSww
6.055454452393338113e-03 2.952466650874184140e+00 1.111023881851690015e-01 1.614029795535941447e-01
7.629394531249999133e-03 2.053241562884343452e+01 1.761130135108684769e+00 2.413707059383420006e+00
9.612434767874702621e-03 3.662620803795527014e+00 3.547702124312054339e-01 5.550187114128357635e-01
1.211090890478667623e-02 5.062695818771130618e+00 6.135874164661985208e-01 7.594322074796844291e-01
1.525878906249999827e-02 7.116016687476019342e+00 6.988099828362248633e-01 5.224449233576671237e-01
1.922486953574940524e-02 2.825139087640338165e+00 4.794670550113865337e-01 2.744376590496589441e-01
2.422181780957335245e-02 1.443731081682458006e+00 1.817149317237171380e-01 2.638616752544784005e-01
3.051757812499999653e-02 1.664426496325067450e+00 4.648415074902683131e-01 3.093410474923312115e-01
3.844973907149881048e-02 9.774647509466921624e-01 3.228545159066123493e-01 2.559204847374950687e-01
4.844363561914670491e-02 5.009367109956711639e-01 2.481803599159477791e-01 1.696441479637366412e-01
6.103515624999999306e-02 3.431359444600639574e-01 1.959799193305677700e-01 1.567581128982227234e-01
7.689947814299762097e-02 2.060420834423631331e-01 1.400801596811037941e-01 9.597122625939494278e-02
9.688727123829340981e-02 8.786541916652605699e-02 1.237203723703131780e-01 6.579511838612028818e-02
1.220703124999999861e-01 4.758677705613789666e-02 6.769922988558413346e-02 3.384178312064482080e-02
1.537989562859952419e-01 1.920610574239010188e-02 2.901202580155647429e-02 1.659932802174270486e-02
1.937745424765868196e-01 7.995897334379798230e-03 1.577165994825505471e-02 6.088181580562856271e-03
2.441406249999999722e-01 2.035650991865881488e-03 4.765543143488253953e-03 2.283731294124318866e-03
3.075979125719904839e-01 6.964038995285519668e-04 1.093579585636813255e-03 5.375042280190523792e-04
3.875490849531736393e-01 1.459466299203337645e-04 1.834508805203285931e-04 8.559135023083077438e-05
4.882812499999999445e-01 2.906326475220436119e-05 2.347169294818263590e-05 1.094572288092667360e-05
6.151958251439809677e-01 2.883931960215811216e-06 1.925633115701012291e-06 8.341927164475034271e-07
7.750981699063472785e-01 1.200888406617813487e-07 8.597515639593686648e-08 4.347952076788037400e-08
9.765624999999998890e-01 1.735972278076097191e-09 1.064196243782553536e-09 6.366202103809430639e-10
1.230391650287961935e+00 9.755598538769068610e-11 6.691662837693072645e-11 4.330109486781843207e-11
1.550196339812694557e+00 1.054301384952651185e-10 6.479646566089601600e-11 4.444746013209832662e-11
1.953124999999999778e+00 2.168240476322319499e-10 1.559809065080677288e-10 7.968331477518611039e-11
2.460783300575923871e+00 1.913161818902764607e-11 1.170237016576867047e-11 7.559976903675550083e-12
3.100392679625389114e+00 2.475678757840408711e-12 1.444531251491349917e-12 9.471027067543358368e-13
3.906249999999999556e+00 2.992960473981886062e-11 2.061330211185182789e-11 1.116278451755007294e-11
