# f avgSuu avgSvv avgSww
6.055454452393338113e-03 3.554978296078048938e+00 7.009393936717660256e-02 1.910308405625417705e-01
7.629394531249999133e-03 2.514368848202905582e+01 1.177622769858239549e+00 2.807383410445424943e+00
9.612434767874702621e-03 4.100520014972450333e+00 3.071274397208542117e-01 6.924205883007555906e-01
1.211090890478667623e-02 5.019247480233849146e+00 7.037088290127084811e-01 8.565149437573880142e-01
1.525878906249999827e-02 6.718743472116632809e+00 7.639454248564275796e-01 6.028205857933409684e-01
1.922486953574940524e-02 2.823599539378341738e+00 4.874552281811288523e-01 2.936952732106339337e-01
2.422181780957335245e-02 1.306887153658867318e+00 2.370200917592387713e-01 2.700968846899799991e-01
3.051757812499999653e-02 1.365386623091350504e+00 4.257772596875436522e-01 3.009743690046025044e-01
3.844973907149881048e-02 1.182085733683305273e+00 3.361183493344889195e-01 3.159130543199212271e-01
4.844363561914670491e-02 5.294860340439403457e-01 2.663583890730156223e-01 2.087704596411360525e-01
6.103515624999999306e-02 3.753594143691661444e-01 1.995790028234807056e-01 1.781117989284689007e-01
7.689947814299762097e-02 2.557370804463304226e-01 1.682417184716958614e-01 1.315243479794930281e-01
9.688727123829340981e-02 1.352636450447059491e-01 1.229330357189564182e-01 8.381286213723236622e-02
1.220703124999999861e-01 7.220260338744675932e-02 7.090117048386559984e-02 5.150614308663472446e-02
1.537989562859952419e-01 2.997807118459170847e-02 2.900327182432287446e-02 2.407281232434164628e-02
1.937745424765868196e-01 1.853427399161955078e-02 1.611070379179992823e-02 1.201273488526962210e-02
2.441406249999999722e-01 8.134611570138358325e-03 6.355178536414235468e-03 5.845845266584528445e-03
3.075979125719904839e-01 3.616693990359718097e-03 2.300499556492447296e-03 2.432321446022691312e-03
3.875490849531736393e-01 1.405907063473935169e-03 7.838982938272592849e-04 8.261044518249734082e-04
4.882812499999999445e-01 5.446177711218594614e-04 2.789470148355884709e-04 2.654591319322842239e-04
6.151958251439809677e-01 1.324867115232294056e-04 6.294358917140184821e-05 7.423218436438537473e-05
7.750981699063472785e-01 1.185170633015291767e-05 7.049951241687074901e-06 9.187070320527379236e-06
9.765624999999998890e-01 3.687307943086554860e-07 2.194320241137907339e-07 3.115388021558397597e-07
1.230391650287961935e+00 3.919886308424817018e-09 3.001944467575776334e-09 4.597590340529570445e-09
1.550196339812694557e+00 3.124389123833073932e-11 2.146783544095099037e-11 4.198179768551516334e-11
1.953124999999999778e+00 3.031023778773042901e-12 2.447756424051011811e-12 2.777355739778958273e-12
2.460783300575923871e+00 1.265992540291910254e-12 8.529127987980357351e-13 1.072102068600771880e-12
3.100392679625389114e+00 1.425985381269145137e-12 4.074823783335682661e-13 6.429220364106635317e-13
3.906249999999999556e+00 1.181395830855540882e-12 6.053808559129799217e-13 5.738485171094566660e-13
