# f avgSuu avgSvv avgSww
6.055454452393338113e-03 1.626141543092023412e+00 3.046399714262014169e-01 2.214220434869434984e-01
7.629394531249999133e-03 1.081240401391039896e+01 3.982580690100962606e+00 3.312932022201394933e+00
9.612434767874702621e-03 2.137391745636840312e+00 6.991023083238140368e-01 8.145349642163506321e-01
1.211090890478667623e-02 3.351406607542629423e+00 1.023921046106539334e+00 8.325654249231835280e-01
1.525878906249999827e-02 4.456783746405892366e+00 1.117282302674674765e+00 5.937214503795326115e-01
1.922486953574940524e-02 1.909119710147203497e+00 5.240519577433316867e-01 2.829517893767762859e-01
2.422181780957335245e-02 1.039318185078254908e+00 2.339134425394516492e-01 2.387552376957648159e-01
3.051757812499999653e-02 1.192738441052456633e+00 4.741976654335615660e-01 2.986916562076022963e-01
3.844973907149881048e-02 6.969098134377209597e-01 3.020537181497405799e-01 2.264080225649665046e-01
4.844363561914670491e-02 4.042192680347975742e-01 2.509862834778195939e-01 1.487529608943194692e-01
6.103515624999999306e-02 2.915415792663652028e-01 1.934914327475788509e-01 1.398955710335849367e-01
7.689947814299762097e-02 1.553362333273429485e-01 1.287460578901364894e-01 8.533378598093339928e-02
9.688727123829340981e-02 6.864938429124771424e-02 1.179033340060727242e-01 5.418272734114324557e-02
1.220703124999999861e-01 3.933168575338340245e-02 6.487021904871928535e-02 3.086982482220559931e-02
1.537989562859952419e-01 1.456199206145566277e-02 2.932635344023196144e-02 1.368898864788843997e-02
1.937745424765868196e-01 5.292966561036013297e-03 1.427338815243453865e-02 5.518102282329154402e-03
2.441406249999999722e-01 1.151478854440867068e-03 4.433023929228852196e-03 1.778565635067196928e-03
3.075979125719904839e-01 2.396954150365440065e-04 9.474242186516595911e-04 3.995222972091828028e-04
3.875490849531736393e-01 3.000319439793622557e-05 1.420160313288701252e-04 5.129480319533511883e-05
4.882812499999999445e-01 2.418103735875587146e-06 9.456428192577295716e-06 3.356171326252875448e-06
6.151958251439809677e-01 1.433605152174266574e-07 1.935495941537362870e-07 1.016650353379881411e-07
7.750981699063472785e-01 1.128514531762363365e-08 6.542215741234496985e-09 5.162941771423196281e-09
9.765624999999998890e-01 1.704385991946318291e-08 8.900066380368825216e-09 8.380344726667037655e-09
1.230391650287961935e+00 3.150401911109343156e-08 1.522663636758098311e-08 1.316338582459909150e-08
1.550196339812694557e+00 2.615932423641452241e-08 1.176541931649551447e-08 1.150071681911508742e-08
1.953124999999999778e+00 5.680379007093882688e-08 3.224232233322822931e-08 2.559695079002507371e-08
2.460783300575923871e+00 4.430242932413717804e-09 2.044254914489819320e-09 2.058894042593328180e-09
3.100392679625389114e+00 7.368590419408822595e-10 3.400959486547231297e-10 3.090515503130252657e-10
3.906249999999999556e+00 7.390227338380658466e-09 4.092414898156098864e-09 3.382303482659427015e-09
