# f avgSuu avgSvv avgSww
6.055454452393338113e-03 3.573393912827715457e+00 8.087126313276529754e-02 1.796829739357535538e-01
7.629394531249999133e-03 2.512280644723993817e+01 1.211500545992250988e+00 2.708061181009369989e+00
9.612434767874702621e-03 4.212477430757912700e+00 2.831219002091030501e-01 6.267133633587353980e-01
1.211090890478667623e-02 5.131865642048794918e+00 6.729830318875947848e-01 8.234048915140317337e-01
1.525878906249999827e-02 6.939692567630587838e+00 7.406989603471423322e-01 5.758733535996244379e-01
1.922486953574940524e-02 2.824401570389406313e+00 4.782075878930001078e-01 2.861608289514736558e-01
2.422181780957335245e-02 1.394414086791118335e+00 2.106435925856823543e-01 2.701850973109866105e-01
3.051757812499999653e-02 1.467191192844634617e+00 4.373113202968683666e-01 3.020311088307655600e-01
3.844973907149881048e-02 1.157935490867555206e+00 3.374269875523644435e-01 2.925562776509103013e-01
4.844363561914670491e-02 5.254853539982676791e-01 2.574882300076286046e-01 1.945974549417597566e-01
6.103515624999999306e-02 3.642428030361131164e-01 1.965129993974910894e-01 1.697041727902712238e-01
7.689947814299762097e-02 2.485718858477142523e-01 1.568631551723160822e-01 1.131101014893183959e-01
9.688727123829340981e-02 1.229648290590639181e-01 1.260511728111713137e-01 8.022926583463492467e-02
1.220703124999999861e-01 6.247137351632137126e-02 6.943787205612930724e-02 4.453363115798775196e-02
1.537989562859952419e-01 2.632797047575616625e-02 2.869506670700945269e-02 2.196943600484438375e-02
1.937745424765868196e-01 1.469477066168498394e-02 1.642871362706881111e-02 9.853924947576560636e-03
2.441406249999999722e-01 6.254710646901950541e-03 5.617536261070712154e-03 4.641520317564228060e-03
3.075979125719904839e-01 2.673929803847673557e-03 2.012481762034639809e-03 1.817486717920056621e-03
3.875490849531736393e-01 9.160375970394884571e-04 5.738757948719386184e-04 5.194820868052455387e-04
4.882812499999999445e-01 3.193520708344634181e-04 1.763373973626248896e-04 1.354459986090100331e-04
6.151958251439809677e-01 7.061683431374178046e-05 3.777999320357481602e-05 3.599171327353722032e-05
7.750981699063472785e-01 7.251288049987065797e-06 3.627924595344982109e-06 4.731190969169033336e-06
9.765624999999998890e-01 1.798055409053943522e-07 1.016705792530715996e-07 1.464681309284390406e-07
1.230391650287961935e+00 1.499339577661470768e-09 1.028716137067652701e-09 1.607327222799483072e-09
1.550196339812694557e+00 1.409910804918040677e-11 1.204525205366562076e-11 1.686736379574871726e-11
1.953124999999999778e+00 4.335678094927642932e-12 3.516947436064376357e-12 2.781995324669943816e-12
2.460783300575923871e+00 1.197347372069898716e-12 7.406613724212893634e-13 6.251130032512017565e-13
3.100392679625389114e+00 8.335507078266810909e-13 3.116530218849629901e-13 3.469701696907822186e-13
3.906249999999999556e+00 1.257352822144732170e-12 6.046783269593240435e-13 5.042508806995582563e-13
