# f avgSuu avgSvv avgSww
6.055454452393338113e-03 3.419952680262895228e+00 9.054494129591481033e-02 1.641818640629866821e-01
7.629394531249999133e-03 2.403844970402272807e+01 1.344793715251919375e+00 2.512289298199434473e+00
9.612434767874702621e-03 4.148248734555594730e+00 2.854214793703168107e-01 5.617674969645984895e-01
1.211090890478667623e-02 5.265283139979239024e+00 6.292482259147993418e-01 7.917943468035595345e-01
1.525878906249999827e-02 7.229670059953614114e+00 7.226775608358469993e-01 5.519259671694847214e-01
1.922486953574940524e-02 2.834390252841821223e+00 4.742503305975159233e-01 2.760320628667085052e-01
2.422181780957335245e-02 1.473717180089201273e+00 1.850252917127500341e-01 2.700714368899820306e-01
3.051757812499999653e-02 1.634719083327756950e+00 4.598095629116171201e-01 3.107451363055234173e-01
3.844973907149881048e-02 1.079832151284269237e+00 3.343282921112639139e-01 2.713524738553939608e-01
4.844363561914670491e-02 5.183588128948413143e-01 2.491209785566531609e-01 1.797697001603037747e-01
6.103515624999999306e-02 3.503128064766907190e-01 1.965826909398040168e-01 1.606015624856647339e-01
7.689947814299762097e-02 2.336026249387487819e-01 1.461728101781181732e-01 9.815309122031613820e-02
9.688727123829340981e-02 1.073816007023297714e-01 1.251849637409558902e-01 7.231380734244306774e-02
1.220703124999999861e-01 5.498273305159120938e-02 6.790726830592000440e-02 3.708416964399655069e-02
1.537989562859952419e-01 2.261450287560549249e-02 2.875206165135945485e-02 1.974317292809274829e-02
1.937745424765868196e-01 1.122928481404638669e-02 1.654821711021601735e-02 7.438521790094082195e-03
2.441406249999999722e-01 3.640984772553739618e-03 5.083841244056771722e-03 3.163907743356055187e-03
3.075979125719904839e-01 1.492689920102250418e-03 1.443327858139016552e-03 8.847134047883308634e-04
3.875490849531736393e-01 3.824676445199614314e-04 3.089237968471413411e-04 2.133952797603147261e-04
4.882812499999999445e-01 1.179047737144419360e-04 6.560853838603712684e-05 4.001951636005884118e-05
6.151958251439809677e-01 1.905444069753410994e-05 9.853495030705138570e-06 6.618159471678118965e-06
7.750981699063472785e-01 1.412990624971349368e-06 7.050177616500647266e-07 6.791256398901588125e-07
9.765624999999998890e-01 2.882387329402849865e-08 1.301228567627569512e-08 1.519556241253646020e-08
1.230391650287961935e+00 2.814579133420974546e-10 1.410988976837449991e-10 1.005382129916505731e-10
1.550196339812694557e+00 1.484549078225801998e-11 1.049499621614375225e-11 7.158817289542937026e-12
1.953124999999999778e+00 2.223220027957057827e-11 1.532334152329200218e-11 9.779627806156142211e-12
2.460783300575923871e+00 2.718157187825910973e-12 1.678058587549601770e-12 1.109380881466236410e-12
3.100392679625389114e+00 7.678816416918883993e-13 3.235822227556742078e-13 2.105503898799922333e-13
3.906249999999999556e+00 3.457729389825842555e-12 2.203722983001520746e-12 1.383318472849040142e-12
