# f avgSuu avgSvv avgSww
6.055454452393338113e-03 3.539675690368279781e+00 6.161577088543698788e-02 1.965700020908014434e-01
7.629394531249999133e-03 2.519849533407539255e+01 1.157037457771117328e+00 2.850390886776458022e+00
9.612434767874702621e-03 4.033768762846863254e+00 3.314813144557390845e-01 7.374077553260399709e-01
1.211090890478667623e-02 5.009249678479896772e+00 7.237510772798507741e-01 8.819526607672599772e-01
1.525878906249999827e-02 6.572543289373447450e+00 7.744912250743564153e-01 6.225021286569321077e-01
1.922486953574940524e-02 2.776539036935020910e+00 4.939180406726192407e-01 2.977631916963605629e-01
2.422181780957335245e-02 1.282874840260827209e+00 2.546423941527526380e-01 2.690196366174113507e-01
3.051757812499999653e-02 1.331392192175707478e+00 4.165784285790435360e-01 3.046776697691384039e-01
3.844973907149881048e-02 1.188713726881227783e+00 3.340042194089474226e-01 3.342676200142564169e-01
4.844363561914670491e-02 5.361396742721286079e-01 2.722561182314051087e-01 2.205402292393784380e-01
6.103515624999999306e-02 3.889320803118487269e-01 2.036707897504921871e-01 1.830319516499598065e-01
7.689947814299762097e-02 2.601168259218655243e-01 1.739508170852569757e-01 1.420371910916759517e-01
9.688727123829340981e-02 1.459225474295019753e-01 1.187553589733644638e-01 8.599779549711054905e-02
1.220703124999999861e-01 7.934075622204683764e-02 7.036574828049005359e-02 5.704494117225142324e-02
1.537989562859952419e-01 3.463263832264627806e-02 2.890900573065382020e-02 2.535113598356374467e-02
1.937745424765868196e-01 2.121390160061161975e-02 1.626402749362816647e-02 1.387173653531700510e-02
2.441406249999999722e-01 9.144221595774987624e-03 6.918707278031612125e-03 6.681883021913629338e-03
3.075979125719904839e-01 4.227923620705067824e-03 2.528357706512926895e-03 2.786927895728215365e-03
3.875490849531736393e-01 1.648751430770161244e-03 8.932588424939818779e-04 9.933041143103144444e-04
4.882812499999999445e-01 6.687408394815651247e-04 3.476958312391409118e-04 3.557039443398708062e-04
6.151958251439809677e-01 1.703650480082365051e-04 8.349074252578414675e-05 9.915873001484691400e-05
7.750981699063472785e-01 1.473045034166849026e-05 9.276253060128430525e-06 1.220864850684481189e-05
9.765624999999998890e-01 4.855948104495728752e-07 2.932216913513820039e-07 4.131809900896235926e-07
1.230391650287961935e+00 5.941252242721159087e-09 3.169651479183053354e-09 7.847864348282732485e-09
1.550196339812694557e+00 4.096453265256929816e-11 2.611672440681304921e-11 7.685969297430880793e-11
1.953124999999999778e+00 2.794181727500068079e-12 2.294523012111956088e-12 3.233187303178339253e-12
2.460783300575923871e+00 1.488287612126478221e-12 9.990359076567828081e-13 1.428811579506372286e-12
3.100392679625389114e+00 1.464162331644214394e-12 5.134597779943820909e-13 8.263872014273768621e-13
3.906249999999999556e+00 1.289789885538390085e-12 4.584467263196978616e-13 6.731299980167155141e-13
