# f avgSuu avgSvv avgSww
6.055454452393338113e-03 7.112248846398936397e-01 4.176448285280200956e-01 1.879501073207412720e-01
7.629394531249999133e-03 5.295181613634166951e+00 4.446523288481129654e+00 2.395296791417609761e+00
9.612434767874702621e-03 1.021968573201192276e+00 7.350416070620757747e-01 6.057148324084220548e-01
1.211090890478667623e-02 1.308089274859184581e+00 1.063824196437752612e+00 5.362492357370689522e-01
1.525878906249999827e-02 1.780116973433946148e+00 1.489469622613869060e+00 4.280412592175804054e-01
1.922486953574940524e-02 7.434024154568981135e-01 3.561665296462321884e-01 1.632828435276825751e-01
2.422181780957335245e-02 3.609963262597666867e-01 2.163891829460210248e-01 1.254711763738942110e-01
3.051757812499999653e-02 3.994717700230787649e-01 2.342975510701918729e-01 1.499929495185155504e-01
3.844973907149881048e-02 2.249370853234342049e-01 1.133539365760050932e-01 8.956737458251115558e-02
4.844363561914670491e-02 1.226820996060086766e-01 1.047060739527481549e-01 6.642347941154484736e-02
6.103515624999999306e-02 8.718376941132446878e-02 7.503170386697867456e-02 4.663395794621930102e-02
7.689947814299762097e-02 4.485980683829459553e-02 4.422429857321476948e-02 2.978155807339508132e-02
9.688727123829340981e-02 2.004659517168176641e-02 3.502162690398729489e-02 1.790190700369703389e-02
1.220703124999999861e-01 1.235887574827313276e-02 2.116610027631262922e-02 1.030588567136829156e-02
1.537989562859952419e-01 4.754697633592330080e-03 1.002385803301885162e-02 4.330896476614588819e-03
1.937745424765868196e-01 2.103921974164434799e-03 5.568032826735482693e-03 2.211709619457518771e-03
2.441406249999999722e-01 6.361045270775399999e-04 2.276751576178561061e-03 8.510175671127103358e-04
3.075979125719904839e-01 2.203964406552766538e-04 7.461829980821494453e-04 3.111537350125934804e-04
3.875490849531736393e-01 5.831235990114107525e-05 2.190014182733948417e-04 8.276218481741674663e-05
4.882812499999999445e-01 1.386224396291155234e-05 4.531203240966828120e-05 1.737757302708272712e-05
6.151958251439809677e-01 2.211088717429991127e-06 4.959472834031218289e-06 1.964454499374457390e-06
7.750981699063472785e-01 4.310912703174635865e-07 5.847425443348572677e-07 2.270122450181303533e-07
9.765624999999998890e-01 8.251525213671669583e-07 7.563723538747505668e-07 2.856183491673563254e-07
1.230391650287961935e+00 1.276664069289171107e-06 1.786374270328737939e-06 6.530852098958472095e-07
1.550196339812694557e+00 9.573164771672804084e-07 3.084087214399503760e-06 1.195848575983028716e-06
1.953124999999999778e+00 9.329288539316077560e-07 3.027097073637726094e-06 1.168959786173075272e-06
2.460783300575923871e+00 1.593856472158631027e-07 5.986644239636508476e-07 2.160016380264231543e-07
3.100392679625389114e+00 2.760740744942846650e-08 4.653602085800297719e-08 1.691933008291039412e-08
3.906249999999999556e+00 1.517623374796088061e-07 5.070552104706722046e-07 1.950101766012650410e-07
