# f avgSuu avgSvv avgSww
6.055454452393338113e-03 3.569539120125729159e+00 7.787584711047335073e-02 1.837116965568019733e-01
7.629394531249999133e-03 2.512852228551593825e+01 1.198941240477479075e+00 2.746379058918163363e+00
9.612434767874702621e-03 4.177157793036260891e+00 2.893633631406033468e-01 6.476825131891912335e-01
1.211090890478667623e-02 5.084872232151985472e+00 6.834368051762871321e-01 8.332983111461165215e-01
1.525878906249999827e-02 6.862066592007145971e+00 7.484120017552903237e-01 5.841215992574948501e-01
1.922486953574940524e-02 2.829883646564654409e+00 4.816945890815172993e-01 2.891021315622749333e-01
2.422181780957335245e-02 1.359053568649138510e+00 2.193354634430161598e-01 2.701533646988243942e-01
3.051757812499999653e-02 1.426125793776716444e+00 4.333248010752446810e-01 3.008143522589317720e-01
3.844973907149881048e-02 1.167039697287429068e+00 3.372190028419531083e-01 2.995511710185759235e-01
4.844363561914670491e-02 5.260585731783321561e-01 2.604553729068672663e-01 1.988676078863794716e-01
6.103515624999999306e-02 3.667586527561560450e-01 1.968879323330281761e-01 1.725558887122232710e-01
7.689947814299762097e-02 2.504445684391109483e-01 1.607674172733657980e-01 1.192528104419068036e-01
9.688727123829340981e-02 1.263577691838142780e-01 1.257136267910771432e-01 8.160192295167068011e-02
1.220703124999999861e-01 6.544626667108184581e-02 7.020161892875996512e-02 4.664175853538321537e-02
1.537989562859952419e-01 2.730467716133407052e-02 2.884846927613407552e-02 2.258837486634225969e-02
1.937745424765868196e-01 1.584002929266869683e-02 1.634171948976970504e-02 1.053479842013083957e-02
2.441406249999999722e-01 6.961393306639458364e-03 5.852202470093542143e-03 5.050706715174932589e-03
3.075979125719904839e-01 2.979382762795689497e-03 2.135413863473813352e-03 2.072328958989325468e-03
3.875490849531736393e-01 1.091216891452699740e-03 6.579617839272266112e-04 6.275471746688550097e-04
4.882812499999999445e-01 3.955470781029996529e-04 2.136587621596750051e-04 1.728061428096942039e-04
6.151958251439809677e-01 8.931032020233634961e-05 4.599219886861480235e-05 4.852870493612456316e-05
7.750981699063472785e-01 9.314430428254346178e-06 4.787975970631453337e-06 6.234256123040922643e-06
9.765624999999998890e-01 2.379334717861688440e-07 1.473880098088335900e-07 2.002344284184495844e-07
1.230391650287961935e+00 1.921467543993058262e-09 1.655457246375627022e-09 2.669741243461238909e-09
1.550196339812694557e+00 2.055713858189037712e-11 1.570960479295392163e-11 2.603516944119947653e-11
1.953124999999999778e+00 3.658157015193432277e-12 3.157095884207362331e-12 3.356627156092755894e-12
2.460783300575923871e+00 1.271437488895961640e-12 8.166657190433833990e-13 8.940323460893229323e-13
3.100392679625389114e+00 1.116288931617718811e-12 4.037284711946104870e-13 5.488216979923616179e-13
3.906249999999999556e+00 1.135884443463514742e-12 5.693714955851653984e-13 6.314750361083775848e-13
