# f avgSuu avgSvv avgSww
6.055454452393338113e-03 3.583609707147751955e+00 7.775119918653627948e-02 1.842245390933364979e-01
7.629394531249999133e-03 2.518898966012389451e+01 1.194817261384977458e+00 2.748111287090988064e+00
9.612434767874702621e-03 4.197036762617186056e+00 2.891339075901126487e-01 6.454180552398470772e-01
1.211090890478667623e-02 5.112321063199416926e+00 6.844255546483632990e-01 8.324939339622282608e-01
1.525878906249999827e-02 6.883434631148549698e+00 7.384009655752519219e-01 5.844994461338408609e-01
1.922486953574940524e-02 2.794703790887627992e+00 4.730690491130126185e-01 2.866961070150692015e-01
2.422181780957335245e-02 1.338829102586277520e+00 2.171512928306581491e-01 2.667346128294664775e-01
3.051757812499999653e-02 1.427117644074061387e+00 4.278743732483914486e-01 3.002437617406416015e-01
3.844973907149881048e-02 1.156870069840754800e+00 3.355343985279528596e-01 2.983615035377201186e-01
4.844363561914670491e-02 5.141705759815727861e-01 2.568019474544464553e-01 1.974829773280170897e-01
6.103515624999999306e-02 3.567014486760299308e-01 1.931926398671862111e-01 1.689505222279500118e-01
7.689947814299762097e-02 2.400018685195483281e-01 1.593681937400925896e-01 1.169746183467868239e-01
9.688727123829340981e-02 1.225265722163618176e-01 1.224256350645501756e-01 7.939247955432519877e-02
1.220703124999999861e-01 5.860379211442908604e-02 6.792473702431027494e-02 4.552508994625991540e-02
1.537989562859952419e-01 2.467137585969752037e-02 2.700698926333225391e-02 2.169533317284672719e-02
1.937745424765868196e-01 1.271144161732865735e-02 1.524227212620001687e-02 9.829918777770367197e-03
2.441406249999999722e-01 4.902504342824159055e-03 4.829270310517491151e-03 4.578700803089205164e-03
3.075979125719904839e-01 1.673113845699126774e-03 1.556443351873059138e-03 1.671194892291861904e-03
3.875490849531736393e-01 4.607543638691569870e-04 3.704520224707656554e-04 4.165356394030251511e-04
4.882812499999999445e-01 1.334644291430510052e-04 9.949459028296755850e-05 9.177237404834918066e-05
6.151958251439809677e-01 2.816418699990068869e-05 3.054237508359022477e-05 2.482650692669511521e-05
7.750981699063472785e-01 4.453698499902981146e-06 9.732777559521606095e-06 6.977933218707042690e-06
9.765624999999998890e-01 6.325463544989441144e-07 2.299714348842999522e-06 1.801695417060353683e-06
1.230391650287961935e+00 8.411214134852838310e-08 3.679236791079297122e-07 3.503083621735117401e-07
1.550196339812694557e+00 1.107189842363868333e-08 4.696955589935410968e-08 3.557897029863711005e-08
1.953124999999999778e+00 2.694768118449616713e-09 4.963968776080124374e-09 4.152932621926380125e-09
2.460783300575923871e+00 4.293971686518178107e-10 4.931680622474148854e-10 5.154458965678222387e-10
3.100392679625389114e+00 5.101992136875456600e-11 5.252122813545632599e-11 5.502931196283112370e-11
3.906249999999999556e+00 3.209548409134228021e-11 2.791998202937413502e-11 2.761265541295505412e-11
