# f avgSuu avgSvv avgSww
6.055454452393338113e-03 2.670747085303617041e+00 1.321522895381811724e-01 1.655351321952000243e-01
7.629394531249999133e-03 1.833354205394521941e+01 2.080303438888694956e+00 2.467494235959537541e+00
9.612434767874702621e-03 3.361634319394358084e+00 4.104281131467678589e-01 5.825180966351969358e-01
1.211090890478667623e-02 4.835455918632531436e+00 6.432217172554550721e-01 7.477333357799207381e-01
1.525878906249999827e-02 6.773889321869740243e+00 6.992645173734668429e-01 5.068929733008173955e-01
1.922486953574940524e-02 2.706629517806211638e+00 4.801803239852460159e-01 2.707282283068884743e-01
2.422181780957335245e-02 1.418335144219301514e+00 1.866305347487533517e-01 2.570446812759893396e-01
3.051757812499999653e-02 1.625179859567678520e+00 4.608529690479261642e-01 3.023027575245711418e-01
3.844973907149881048e-02 9.382299244223146761e-01 3.177276944338318643e-01 2.474605735715370847e-01
4.844363561914670491e-02 4.935923085736844684e-01 2.483371539502824410e-01 1.645242841668096978e-01
6.103515624999999306e-02 3.394584894479875659e-01 1.966860914794737181e-01 1.540192526114360361e-01
7.689947814299762097e-02 1.891224258757846499e-01 1.356220115656835701e-01 9.424502183693411750e-02
9.688727123829340981e-02 7.872386488224725198e-02 1.228907237253223234e-01 6.243575500097391789e-02
1.220703124999999861e-01 4.377259908081179707e-02 6.669065595673567826e-02 3.291478297490085803e-02
1.537989562859952419e-01 1.632821238619809948e-02 2.946697627267839265e-02 1.520824383956785597e-02
1.937745424765868196e-01 6.048091390004503749e-03 1.500973419235341472e-02 5.612053775022971674e-03
2.441406249999999722e-01 1.285855732521930727e-03 4.513400925240271429e-03 1.964751912623019948e-03
3.075979125719904839e-01 3.291026188273462531e-04 9.593732846020922370e-04 4.272408451288235405e-04
3.875490849531736393e-01 5.231817229593474484e-05 1.443187329080221912e-04 5.750086165214412745e-05
4.882812499999999445e-01 8.900867676645435547e-06 1.532302784055455063e-05 6.101149992032725958e-06
6.151958251439809677e-01 1.557058299922773063e-06 3.257865680644535522e-06 1.145652934455903461e-06
7.750981699063472785e-01 3.861099136355962751e-07 2.080438081317675882e-06 6.172268818412120215e-07
9.765624999999998890e-01 1.035487999820532897e-07 7.867470647779149176e-07 2.118114959186026112e-07
1.230391650287961935e+00 1.387934577914631101e-08 1.413759267885913311e-07 3.917015517788371418e-08
1.550196339812694557e+00 1.825773922234139232e-09 1.281528239738510668e-08 4.368988286853552869e-09
1.953124999999999778e+00 1.002062658212948883e-09 1.419372489104047962e-09 6.052129406926862026e-10
2.460783300575923871e+00 1.257963629579062475e-10 2.069112636399290731e-10 6.956675584249533761e-11
3.100392679625389114e+00 2.119893718431925884e-11 2.473638051826086621e-11 9.235297088707333084e-12
3.906249999999999556e+00 1.040098487834948012e-10 7.502325610240792814e-11 3.772267060997585352e-11
