# f avgSuu avgSvv avgSww
6.055454452393338113e-03 2.948731862141883653e+00 1.100529685813600722e-01 1.606500781336548944e-01
7.629394531249999133e-03 2.047116892963544288e+01 1.749079124333630109e+00 2.407473042295967591e+00
9.612434767874702621e-03 3.668488414526594799e+00 3.544225809778518976e-01 5.551900722814514522e-01
1.211090890478667623e-02 5.044554763782184814e+00 6.148872271446793603e-01 7.573535173810332921e-01
1.525878906249999827e-02 7.093817601802687278e+00 6.928842300759516792e-01 5.192717921836660366e-01
1.922486953574940524e-02 2.783667117314699624e+00 4.771753110128477693e-01 2.721231049779361810e-01
2.422181780957335245e-02 1.447299622331644775e+00 1.817548382093790160e-01 2.634143283224579801e-01
3.051757812499999653e-02 1.650865613641696150e+00 4.632190650092878892e-01 3.070569722776411159e-01
3.844973907149881048e-02 9.760310067916633248e-01 3.226476104911380482e-01 2.554249300722563065e-01
4.844363561914670491e-02 4.963941894259945031e-01 2.479447471648421608e-01 1.688829900142370111e-01
6.103515624999999306e-02 3.375347649592767008e-01 1.962842072020809236e-01 1.552741472611915974e-01
7.689947814299762097e-02 1.965860579106143979e-01 1.379514542970705082e-01 9.439072612428159315e-02
9.688727123829340981e-02 8.311010214733290102e-02 1.232618132209248180e-01 6.456894208744595742e-02
1.220703124999999861e-01 4.526210514623041359e-02 6.668898041275328481e-02 3.324938714984917998e-02
1.537989562859952419e-01 1.739108236992917972e-02 2.891963207026067295e-02 1.607247209732646023e-02
1.937745424765868196e-01 6.685123599008948626e-03 1.521706547149124025e-02 5.809952177989672652e-03
2.441406249999999722e-01 1.519903862869083008e-03 4.543525775398008469e-03 2.150667190691986710e-03
3.075979125719904839e-01 4.157263237578964657e-04 9.849952837116839315e-04 4.737192988508463548e-04
3.875490849531736393e-01 7.583694147432576979e-05 1.512929034130032610e-04 6.928604384961390881e-05
4.882812499999999445e-01 1.525679219476033789e-05 2.030203460854461671e-05 8.877073368886812210e-06
6.151958251439809677e-01 2.830219801854853351e-06 5.569091316991861199e-06 2.019179743521880689e-06
7.750981699063472785e-01 6.168020062269067214e-07 3.006893828582485093e-06 9.695791791810388568e-07
9.765624999999998890e-01 1.316418418263671308e-07 9.562447199017232810e-07 2.710548676697982462e-07
1.230391650287961935e+00 1.628387815312235747e-08 1.495684514783658815e-07 4.378705994948769266e-08
1.550196339812694557e+00 1.936782829217194317e-09 1.245016161070490417e-08 4.824691999617291272e-09
1.953124999999999778e+00 6.168398922434685433e-10 1.091890393922734608e-09 5.080051952952395635e-10
2.460783300575923871e+00 1.070808725469010274e-10 2.063621401851428926e-10 6.664522818777440194e-11
3.100392679625389114e+00 1.774734365348750319e-11 2.085525232127796002e-11 8.281909735386511982e-12
3.906249999999999556e+00 3.976820931860131353e-11 2.880096380747615275e-11 1.556805948485345251e-11
