# f avgSuu avgSvv avgSww
6.055454452393338113e-03 3.293627093934748729e+00 9.296330307819493377e-02 1.612474008511008972e-01
7.629394531249999133e-03 2.307829738142149978e+01 1.419850050440080613e+00 2.454157748269106598e+00
9.612434767874702621e-03 4.029844767862981847e+00 2.988596125329912034e-01 5.508824378413045286e-01
1.211090890478667623e-02 5.204906130201968573e+00 6.172813984805629595e-01 7.801611715419953796e-01
1.525878906249999827e-02 7.231138271857092903e+00 7.071503643090308877e-01 5.421014593831876560e-01
1.922486953574940524e-02 2.799080170495155784e+00 4.714681631829739095e-01 2.732956399484995358e-01
2.422181780957335245e-02 1.458644528802987672e+00 1.805651132580315121e-01 2.678112338027048289e-01
3.051757812499999653e-02 1.634963989219739622e+00 4.610216769638391665e-01 3.088322132911068829e-01
3.844973907149881048e-02 1.037220087477054076e+00 3.296953711516914520e-01 2.662100238860387602e-01
4.844363561914670491e-02 4.997093189392640133e-01 2.475611132648970203e-01 1.751326334283402064e-01
6.103515624999999306e-02 3.346412904088295615e-01 1.953159605085506567e-01 1.565475493252885542e-01
7.689947814299762097e-02 2.110045117000499404e-01 1.420443736219599296e-01 9.527966773464968675e-02
9.688727123829340981e-02 9.274599518381755614e-02 1.231827976302141137e-01 6.883088460154876409e-02
1.220703124999999861e-01 4.796996660112073929e-02 6.644983911326032833e-02 3.473274786253693902e-02
1.537989562859952419e-01 1.891330146572645435e-02 2.811777894208206466e-02 1.803698644461843373e-02
1.937745424765868196e-01 8.027914619285356213e-03 1.535398778438035010e-02 6.488022705466975175e-03
2.441406249999999722e-01 2.127295330041978523e-03 4.556389696146332519e-03 2.621093306793585015e-03
3.075979125719904839e-01 6.536572798445366289e-04 1.071986380406355754e-03 6.355496982135356090e-04
3.875490849531736393e-01 1.334413757870527462e-04 1.818348327282046908e-04 1.141984548024388397e-04
4.882812499999999445e-01 3.400234338850663916e-05 3.236357408299175132e-05 1.874683980687355821e-05
6.151958251439809677e-01 6.559161192039197788e-06 1.049089790543491174e-05 4.879676666760487257e-06
7.750981699063472785e-01 1.184881789230194105e-06 4.653539374680122879e-06 1.826377818842107450e-06
9.765624999999998890e-01 2.023736992217249851e-07 1.254360660449790406e-06 4.197622465348769963e-07
1.230391650287961935e+00 2.538634908773453304e-08 1.692162141960423412e-07 7.053566551016638856e-08
1.550196339812694557e+00 2.852397685779454483e-09 1.560448718423753254e-08 7.235651044156889473e-09
1.953124999999999778e+00 6.975943133256572527e-10 1.400928229203911261e-09 7.402495886580402178e-10
2.460783300575923871e+00 1.348018965688311158e-10 2.226974124350823418e-10 9.261263930857676341e-11
3.100392679625389114e+00 1.872743356162491474e-11 2.273227795038941484e-11 1.122458627552858437e-11
3.906249999999999556e+00 1.817596053727382784e-11 1.586212021798362382e-11 8.758574980841061127e-12
