# f avgSuu avgSvv avgSww
6.055454452393338113e-03 3.577835646175056894e+00 7.401658455379410417e-02 1.879742689167931413e-01
7.629394531249999133e-03 2.522339301498572794e+01 1.182125586703654418e+00 2.779764591123589756e+00
9.612434767874702621e-03 4.171823528684581284e+00 2.974019583488894947e-01 6.671854912790099457e-01
1.211090890478667623e-02 5.079011322452391397e+00 6.935816802044093565e-01 8.431074215090577084e-01
1.525878906249999827e-02 6.813828237945310562e+00 7.452227363369752222e-01 5.928526972510137494e-01
1.922486953574940524e-02 2.792797978703828399e+00 4.765333471247835684e-01 2.890846912126337487e-01
2.422181780957335245e-02 1.314735212127482900e+00 2.256862057926105336e-01 2.664186965862495593e-01
3.051757812499999653e-02 1.394214394032987414e+00 4.231801287220613994e-01 3.002026368169150583e-01
3.844973907149881048e-02 1.165998748747050451e+00 3.353502596583489148e-01 3.058746009207423677e-01
4.844363561914670491e-02 5.178106758399273479e-01 2.595972084884406450e-01 2.020379226814217333e-01
6.103515624999999306e-02 3.628820982502214409e-01 1.939765244246116349e-01 1.717898945317262172e-01
7.689947814299762097e-02 2.429097209543825964e-01 1.629908987868529668e-01 1.228997955157978828e-01
9.688727123829340981e-02 1.270415015218025745e-01 1.215979804601073910e-01 8.059313420145046425e-02
1.220703124999999861e-01 6.162509400368594570e-02 6.805012002343679978e-02 4.802715316182733923e-02
1.537989562859952419e-01 2.606979643238575145e-02 2.697390528489403139e-02 2.237604901425701426e-02
1.937745424765868196e-01 1.378482810312701284e-02 1.514809365140950236e-02 1.048220988239247434e-02
2.441406249999999722e-01 5.374783348313526624e-03 5.011955757218735860e-03 4.945522421413346865e-03
3.075979125719904839e-01 1.874949512344162425e-03 1.638231791766025548e-03 1.844754634933581938e-03
3.875490849531736393e-01 5.162877635758282568e-04 4.162950032901638884e-04 4.801351704391171077e-04
4.882812499999999445e-01 1.522552975527398920e-04 1.122536289935558053e-04 1.085551552436414080e-04
6.151958251439809677e-01 3.284960159300283404e-05 3.317104938298163613e-05 2.959840016877276594e-05
7.750981699063472785e-01 5.032539717675868410e-06 1.060223383704512285e-05 7.992395795160437370e-06
9.765624999999998890e-01 7.157046977754350271e-07 2.473743843863736052e-06 2.037017800014234732e-06
1.230391650287961935e+00 9.844249432157854092e-08 4.139294353093669950e-07 4.181354040933887852e-07
1.550196339812694557e+00 1.190044060842649603e-08 5.254035825916487847e-08 4.381934668491970979e-08
1.953124999999999778e+00 2.778894420905037280e-09 5.564524559459594818e-09 4.676464230374795767e-09
2.460783300575923871e+00 5.053250748901969776e-10 5.393342422180669299e-10 5.592285008850351537e-10
3.100392679625389114e+00 6.258063796558275819e-11 5.598657873802087014e-11 6.892601554214462461e-11
3.906249999999999556e+00 3.151597294806554276e-11 3.005926803115307738e-11 2.868199419130581381e-11
