# f avgSuu avgSvv avgSww
6.055454452393338113e-03 2.263033034964499812e+00 1.801032549073928180e-01 1.801709024268638160e-01
7.629394531249999133e-03 1.525661484775916144e+01 2.677936453384408111e+00 2.687099606015028286e+00
9.612434767874702621e-03 2.896597116311727227e+00 5.073916016230908266e-01 6.503410213844366128e-01
1.211090890478667623e-02 4.390097240933369172e+00 7.359603802417766794e-01 7.538871020050854632e-01
1.525878906249999827e-02 6.041756333261758982e+00 7.678855141235494397e-01 5.101314634289026984e-01
1.922486953574940524e-02 2.484900479864792011e+00 4.874820214855594136e-01 2.700337166020463919e-01
2.422181780957335245e-02 1.328267255553426729e+00 1.978594711960296459e-01 2.461630795513863601e-01
3.051757812499999653e-02 1.526936683795697469e+00 4.593837247587412298e-01 2.945299126131671885e-01
3.844973907149881048e-02 8.756276996726708450e-01 3.110736948814369351e-01 2.364175361568600642e-01
4.844363561914670491e-02 4.814862644306320827e-01 2.477686890124042585e-01 1.574090508638670005e-01
6.103515624999999306e-02 3.371658104334608330e-01 1.958231609568392706e-01 1.498185947562775955e-01
7.689947814299762097e-02 1.806658426275561946e-01 1.325509420113140657e-01 9.262810719616543231e-02
9.688727123829340981e-02 7.527049185943900100e-02 1.215768572887083870e-01 5.999274224331879735e-02
1.220703124999999861e-01 4.255951633897833014e-02 6.625324253252666551e-02 3.268466801140283706e-02
1.537989562859952419e-01 1.532202572549352763e-02 2.995462195998557786e-02 1.455851813292789038e-02
1.937745424765868196e-01 5.471859431772136198e-03 1.483145122474863013e-02 5.543516850398102699e-03
2.441406249999999722e-01 1.111385411115027545e-03 4.477758458138809093e-03 1.818981119022522637e-03
3.075979125719904839e-01 2.601273732124748388e-04 9.321808195805523058e-04 3.966219523898730165e-04
3.875490849531736393e-01 3.481537136239584273e-05 1.385463967012969997e-04 5.041878416557593585e-05
4.882812499999999445e-01 4.705684805216400342e-06 1.155456467052290334e-05 4.326389516271967319e-06
6.151958251439809677e-01 7.276265251996217423e-07 1.532381812757722663e-06 5.415261950694938327e-07
7.750981699063472785e-01 2.050791364379513675e-07 1.123696012992219552e-06 3.170574606292572883e-07
9.765624999999998890e-01 6.874071747432189266e-08 5.530555679642802175e-07 1.335975664469817383e-07
1.230391650287961935e+00 1.248596594631374901e-08 1.340071649741440345e-07 3.363286133662846868e-08
1.550196339812694557e+00 2.919410458231324001e-09 1.605756396182876521e-08 4.565496263301694609e-09
1.953124999999999778e+00 3.772529857581794344e-09 3.673081305192186956e-09 1.712861831013494879e-09
2.460783300575923871e+00 3.119604338313619192e-10 3.214061402046382275e-10 1.392556931800396675e-10
3.100392679625389114e+00 4.747779150955188938e-11 4.607292685811860026e-11 2.101158381873118851e-11
3.906249999999999556e+00 4.774961114726037910e-10 3.329739175373660920e-10 1.835106067939986458e-10
