# f avgSuu avgSvv avgSww
6.055454452393338113e-03 3.554503940240891335e+00 6.526193615926949299e-02 1.940208010108118164e-01
7.629394531249999133e-03 2.522859803364096365e+01 1.155686638585778692e+00 2.827281758218733287e+00
9.612434767874702621e-03 4.104433486160008471e+00 3.185307360387201747e-01 7.121298410796463862e-01
1.211090890478667623e-02 5.028506950009316689e+00 7.105506670588670470e-01 8.673834464571434921e-01
1.525878906249999827e-02 6.675913565490755985e+00 7.588633993934309485e-01 6.110151815312002688e-01
1.922486953574940524e-02 2.770477839993962910e+00 4.860602458806189685e-01 2.932750015528104437e-01
2.422181780957335245e-02 1.279770160544073887e+00 2.427761347817736226e-01 2.653608313148473341e-01
3.051757812499999653e-02 1.346816211472882330e+00 4.140399304466315100e-01 3.028429170598082587e-01
3.844973907149881048e-02 1.177277130485738121e+00 3.332026521771692118e-01 3.226068855381220013e-01
4.844363561914670491e-02 5.252476460264907665e-01 2.653808098070598587e-01 2.123893800013857691e-01
6.103515624999999306e-02 3.767677696985179958e-01 1.969221585599270075e-01 1.771956088391607176e-01
7.689947814299762097e-02 2.481865571964302908e-01 1.692999517137044330e-01 1.340754260150705535e-01
9.688727123829340981e-02 1.353225802168991632e-01 1.188251782545676760e-01 8.285397125417108544e-02
1.220703124999999861e-01 6.886354115434013823e-02 6.745126699117878766e-02 5.356922988748306219e-02
1.537989562859952419e-01 2.961527734436436229e-02 2.684262641832966742e-02 2.367915055524657739e-02
1.937745424765868196e-01 1.635978017252477310e-02 1.502176399456273646e-02 1.184519568278294584e-02
2.441406249999999722e-01 6.142976700595267209e-03 5.527186346128988223e-03 5.720729050746735725e-03
3.075979125719904839e-01 2.336751991080460947e-03 1.795986511160026916e-03 2.120424007802908586e-03
3.875490849531736393e-01 6.194257888704958904e-04 5.115825707656087218e-04 6.112635979145807129e-04
4.882812499999999445e-01 1.751563379045571332e-04 1.386753890410287178e-04 1.442669994164517955e-04
6.151958251439809677e-01 3.871874176596675572e-05 3.628190452694738896e-05 3.616226715877004513e-05
7.750981699063472785e-01 5.707870033680770595e-06 1.126852999810998422e-05 9.339547376951512787e-06
9.765624999999998890e-01 8.295015474724493120e-07 2.737799230311717261e-06 2.295448669342226212e-06
1.230391650287961935e+00 1.021288362594680176e-07 4.270645666149745668e-07 4.543609901912011092e-07
1.550196339812694557e+00 1.232798525564423453e-08 5.750508836464442075e-08 5.189553550999099792e-08
1.953124999999999778e+00 2.729267740714357612e-09 5.593970027404233823e-09 4.741107744272172634e-09
2.460783300575923871e+00 5.035586396774867324e-10 5.915699253101286565e-10 5.183386930743727187e-10
3.100392679625389114e+00 6.540323851908765172e-11 5.888343766933963138e-11 8.084030586641256482e-11
3.906249999999999556e+00 3.863345141374411836e-11 3.486013309806627689e-11 3.145310384377333851e-11
