# f avgSuu avgSvv avgSww
6.055454452393338113e-03 3.582032204822835908e+00 8.086872398190281253e-02 1.800803251404304584e-01
7.629394531249999133e-03 2.512248725850669473e+01 1.208728019072120796e+00 2.709490873315387738e+00
9.612434767874702621e-03 4.216249455894048204e+00 2.826614493600709821e-01 6.246717087579275463e-01
1.211090890478667623e-02 5.148658736344692066e+00 6.742763112971779105e-01 8.228003378933786971e-01
1.525878906249999827e-02 6.953266667900685150e+00 7.319427841302157400e-01 5.764540937338732407e-01
1.922486953574940524e-02 2.792804292057206261e+00 4.702096865787823154e-01 2.838114529751123438e-01
2.422181780957335245e-02 1.367248238604437782e+00 2.086644442686553802e-01 2.670402484941975518e-01
3.051757812499999653e-02 1.464908555233538801e+00 4.329400279477871871e-01 3.009972607233558639e-01
3.844973907149881048e-02 1.145081711035512040e+00 3.353573229866250172e-01 2.915852085245306813e-01
4.844363561914670491e-02 5.108699037258878084e-01 2.543303645517501210e-01 1.932222687613500411e-01
6.103515624999999306e-02 3.511363315176290745e-01 1.929298870864316895e-01 1.661442458656756660e-01
7.689947814299762097e-02 2.371099438018791639e-01 1.557191406155150615e-01 1.112273891518541918e-01
9.688727123829340981e-02 1.177407273623801154e-01 1.228483190835436417e-01 7.804383043673042419e-02
1.220703124999999861e-01 5.609227836456952970e-02 6.751709246985457269e-02 4.323794325207006711e-02
1.537989562859952419e-01 2.345820666766368356e-02 2.702686718383502662e-02 2.109766605480608431e-02
1.937745424765868196e-01 1.177555238979844862e-02 1.528758036388307151e-02 9.186294020540690039e-03
2.441406249999999722e-01 4.394700046360459390e-03 4.696307140063928597e-03 4.221329344180557545e-03
3.075979125719904839e-01 1.481315343880636832e-03 1.464410397695642668e-03 1.471815914591290521e-03
3.875490849531736393e-01 4.000111081223898146e-04 3.248982724362277168e-04 3.529089506333025214e-04
4.882812499999999445e-01 1.113158814315678172e-04 8.580214767700365805e-05 7.549046090489906920e-05
6.151958251439809677e-01 2.321404502203903980e-05 2.696724576989022594e-05 2.003511578508693249e-05
7.750981699063472785e-01 3.725827211710354122e-06 8.699272811559386940e-06 5.970311730694923008e-06
9.765624999999998890e-01 5.324240666644508974e-07 2.035444488355461660e-06 1.465588040411645327e-06
1.230391650287961935e+00 6.816144248537292002e-08 3.073325002853697436e-07 2.552535178919474636e-07
1.550196339812694557e+00 9.460748453972684974e-09 3.789162037471437662e-08 2.713138568785776492e-08
1.953124999999999778e+00 2.073481736964355156e-09 4.026782172147897684e-09 3.131716451068847759e-09
2.460783300575923871e+00 3.512043925533332571e-10 4.214586541843621405e-10 3.991070798579710207e-10
3.100392679625389114e+00 4.632070587050105116e-11 4.276850296460229191e-11 4.279073015331004547e-11
3.906249999999999556e+00 2.671116709025711688e-11 2.304125553786156533e-11 2.390454517259529589e-11
