# f avgSuu avgSvv avgSww
6.055454452393338113e-03 3.540944249297694135e+00 6.109053078779867751e-02 1.961959723877407524e-01
7.629394531249999133e-03 2.520787064965341173e+01 1.141625281495024735e+00 2.845320738892117340e+00
9.612434767874702621e-03 4.064595752395369743e+00 3.306445267701199064e-01 7.343967957898756005e-01
1.211090890478667623e-02 5.018846922509952790e+00 7.187718076394022937e-01 8.803555487804535229e-01
1.525878906249999827e-02 6.607759987038840599e+00 7.650554468079419079e-01 6.207717076572099035e-01
1.922486953574940524e-02 2.751332227410531850e+00 4.923623286913554886e-01 2.952828455391478535e-01
2.422181780957335245e-02 1.268018718479581697e+00 2.515612576184013682e-01 2.646653465255173199e-01
3.051757812499999653e-02 1.331829172804845696e+00 4.094055295621002455e-01 3.053307075635917078e-01
3.844973907149881048e-02 1.178216277163488757e+00 3.315148818450618928e-01 3.312055858471646408e-01
4.844363561914670491e-02 5.298771184099282383e-01 2.683108314589322529e-01 2.182845141723236126e-01
6.103515624999999306e-02 3.837528467553659173e-01 1.986717344294397503e-01 1.796766411081894277e-01
7.689947814299762097e-02 2.499135970046954258e-01 1.717308426309953062e-01 1.391559367176052053e-01
9.688727123829340981e-02 1.392057635804415106e-01 1.171744931545717489e-01 8.407145740634920650e-02
1.220703124999999861e-01 7.300695614539480516e-02 6.695233230242858546e-02 5.646668396154429920e-02
1.537989562859952419e-01 3.156140242642554300e-02 2.687149383530454405e-02 2.418040069773217532e-02
1.937745424765868196e-01 1.772175188689227923e-02 1.508361296012471556e-02 1.263335062598205591e-02
2.441406249999999722e-01 6.463242749572924682e-03 5.826530169881006735e-03 6.117280875512217525e-03
3.075979125719904839e-01 2.587885136496028294e-03 1.899046654081532146e-03 2.254444761077892094e-03
3.875490849531736393e-01 6.774348846014574934e-04 5.683632212653277893e-04 6.802447476563097889e-04
4.882812499999999445e-01 1.842889487238200260e-04 1.545526023810563792e-04 1.632313074924837692e-04
6.151958251439809677e-01 4.052039987644566807e-05 3.868841133258055855e-05 3.974400431451515983e-05
7.750981699063472785e-01 5.951916643240864884e-06 1.149861639676051794e-05 9.510586807212791772e-06
9.765624999999998890e-01 8.477230300994937106e-07 2.811068457622403515e-06 2.513823298406121798e-06
1.230391650287961935e+00 1.044524880234913715e-07 4.651310022398445971e-07 4.560695397613323264e-07
1.550196339812694557e+00 1.249228582035770110e-08 6.033964011887936756e-08 5.213675379323586937e-08
1.953124999999999778e+00 2.827409217872614404e-09 5.765527972799771348e-09 4.819513053626900551e-09
2.460783300575923871e+00 5.315188886985887379e-10 6.035021742989856325e-10 5.687550550978584691e-10
3.100392679625389114e+00 7.280865762951927696e-11 6.914306141360268429e-11 8.080328870026664616e-11
3.906249999999999556e+00 3.691877201663877251e-11 3.698224797277237101e-11 3.475597048408533104e-11
