# f avgSuu avgSvv avgSww
6.055454452393338113e-03 3.567757560058186339e+00 8.338990104426183270e-02 1.756201137490771835e-01
7.629394531249999133e-03 2.499826200870617399e+01 1.225604691516843925e+00 2.663591384858617239e+00
9.612434767874702621e-03 4.226564941142854970e+00 2.785232155410273247e-01 6.054350407928313915e-01
1.211090890478667623e-02 5.185395758000938216e+00 6.633019689188213164e-01 8.140144511711728814e-01
1.525878906249999827e-02 7.023096360271733118e+00 7.263691461961768736e-01 5.688135115350488880e-01
1.922486953574940524e-02 2.789596672611938999e+00 4.680681806551614255e-01 2.807225783540541197e-01
2.422181780957335245e-02 1.397261244474862885e+00 2.006271104684038686e-01 2.674089196306758676e-01
3.051757812499999653e-02 1.505412495602338030e+00 4.387273198417875331e-01 3.022576255986276772e-01
3.844973907149881048e-02 1.130174153360798739e+00 3.350403665299058198e-01 2.855133205466499069e-01
4.844363561914670491e-02 5.083947157662950245e-01 2.523215095425563326e-01 1.892103944650041225e-01
6.103515624999999306e-02 3.462813504905751794e-01 1.932480211970881712e-01 1.634964996190775288e-01
7.689947814299762097e-02 2.340034034490043879e-01 1.523431986953205641e-01 1.061181598290174694e-01
9.688727123829340981e-02 1.128135324825860347e-01 1.230610243797898989e-01 7.654153668759715312e-02
1.220703124999999861e-01 5.405332694927778708e-02 6.703259445830132834e-02 4.117020760184333938e-02
1.537989562859952419e-01 2.237535268015241816e-02 2.712260703456958327e-02 2.061662005907352602e-02
1.937745424765868196e-01 1.095750252530312656e-02 1.530497883801406993e-02 8.574223416761473163e-03
2.441406249999999722e-01 3.890684943648233494e-03 4.615117597131634247e-03 3.884839549536036642e-03
3.075979125719904839e-01 1.299882394162312415e-03 1.374369656316537210e-03 1.268353003171373162e-03
3.875490849531736393e-01 3.379257394062382645e-04 2.851235272788657797e-04 2.936535687161043770e-04
4.882812499999999445e-01 9.005927059684542678e-05 7.279033511891671974e-05 6.085264764012607742e-05
6.151958251439809677e-01 1.893570179174177223e-05 2.321538931839255753e-05 1.629254679511522432e-05
7.750981699063472785e-01 3.037507567188179124e-06 7.770019744474664328e-06 4.982115807087251564e-06
9.765624999999998890e-01 4.472610275395482506e-07 1.775718571661318776e-06 1.147915118988540651e-06
1.230391650287961935e+00 5.481791722649705836e-08 2.635296025995344896e-07 1.851079244439474455e-07
1.550196339812694557e+00 7.617645253301042274e-09 3.088568130904112586e-08 2.061914338461188984e-08
1.953124999999999778e+00 1.639429578276781142e-09 3.173423556197892981e-09 2.332105606464715066e-09
2.460783300575923871e+00 2.854896850467041233e-10 3.727587799353833461e-10 3.075914630735793107e-10
3.100392679625389114e+00 3.749936544514057258e-11 3.630215748586976620e-11 3.503436465523168314e-11
3.906249999999999556e+00 2.145264001390295099e-11 2.085409617489224799e-11 2.112686910460898364e-11
