# f avgSuu avgSvv avgSww
6.055454452393338113e-03 3.535140005441118394e+00 8.540641092549162983e-02 1.711867966920068151e-01
7.629394531249999133e-03 2.477543427477881721e+01 1.248802340119413490e+00 2.612367722465581465e+00
9.612434767874702621e-03 4.220491217019076480e+00 2.771902017946979435e-01 5.881116518282465400e-01
1.211090890478667623e-02 5.215807992439253304e+00 6.516464276051634474e-01 8.058992618059068747e-01
1.525878906249999827e-02 7.091204143569106222e+00 7.218545161713936231e-01 5.619145422818500046e-01
1.922486953574940524e-02 2.787260316472290000e+00 4.670407376083402506e-01 2.778957944212676612e-01
2.422181780957335245e-02 1.424144711011008591e+00 1.935041363498968270e-01 2.677822956254747866e-01
3.051757812499999653e-02 1.545325117398254511e+00 4.451445931921595434e-01 3.039105240653099393e-01
3.844973907149881048e-02 1.111676363454456196e+00 3.345563975130222967e-01 2.800763374847016207e-01
4.844363561914670491e-02 5.064670521753922294e-01 2.506950647538969124e-01 1.853830698172501679e-01
6.103515624999999306e-02 3.420244336589393641e-01 1.939003691519574912e-01 1.611290865007993234e-01
7.689947814299762097e-02 2.299591229694434580e-01 1.493275426140093787e-01 1.019342087256239759e-01
9.688727123829340981e-02 1.078176382170210751e-01 1.231651531444146602e-01 7.484355464958965254e-02
1.220703124999999861e-01 5.228692389443444222e-02 6.662419721401099948e-02 3.925509331261149010e-02
1.537989562859952419e-01 2.135411310025558951e-02 2.729762431877992210e-02 2.018096172216761464e-02
1.937745424765868196e-01 1.020582519622012171e-02 1.529869904743160272e-02 7.990828260668722885e-03
2.441406249999999722e-01 3.395477186066111347e-03 4.573116966543417684e-03 3.556940210934087659e-03
3.075979125719904839e-01 1.124337298377235455e-03 1.287055332217891708e-03 1.072949148848189975e-03
3.875490849531736393e-01 2.766584924577694888e-04 2.519012280301329834e-04 2.395900407976588996e-04
4.882812499999999445e-01 7.194703251639476284e-05 6.074947034998558036e-05 4.768407808397603855e-05
6.151958251439809677e-01 1.512157042956919891e-05 1.931198990644811467e-05 1.301696362128875619e-05
7.750981699063472785e-01 2.444439497766911113e-06 6.889573751596033618e-06 4.009513950286709108e-06
9.765624999999998890e-01 3.722785735652412926e-07 1.602401586875477304e-06 8.816301864387925808e-07
1.230391650287961935e+00 4.556605872030830614e-08 2.294277414659269583e-07 1.446199813890237480e-07
1.550196339812694557e+00 6.015320338792647313e-09 2.619976645219661337e-08 1.623957338144740576e-08
1.953124999999999778e+00 1.313697685890001722e-09 2.517485092441481073e-09 1.690189429477638831e-09
2.460783300575923871e+00 2.358999072731312761e-10 3.246488258769584791e-10 2.146500976084778078e-10
3.100392679625389114e+00 3.325731451956888393e-11 3.122877073893362360e-11 2.640108387273189685e-11
3.906249999999999556e+00 1.865093107041706417e-11 1.602775084391091745e-11 1.578895425522571687e-11
